repo_url,repo_name,reason_skipped,current_hash,commits_used,commits_walked,commits_total,rtl_dir,dv_dir,test_cmd
https://github.com/pulp-platform/axi2apb,axi2apb,archived,,,,60,,,
https://github.com/ZipCPU/wbpmic,wbpmic,bad license: GPL-3.0,,,,17,,,
https://github.com/ultraembedded/embedded_httpd,embedded_httpd,bad license: GPL-2.0,,,,3,,,
https://github.com/pulp-platform/axi_mem_if_DP,axi_mem_if_DP,archived,,,,25,,,
https://github.com/ultraembedded/exactstep,exactstep,not enough Verilog/SV (<5%),,,,46,,,
https://github.com/ZipCPU/wbpwmaudio,wbpwmaudio,,,,,14,,,
https://github.com/pulp-platform/axi_node,axi_node,archived,,,,55,,,
https://github.com/ultraembedded/fat_io_lib,fat_io_lib,bad license: GPL-3.0,,,,3,,,
https://github.com/ZipCPU/wbsata,wbsata,bad license: GPL-3.0,,,,20,,,
https://github.com/pulp-platform/axi_slice,axi_slice,archived,,,,27,,,
https://github.com/ultraembedded/FPGAmp,FPGAmp,not enough Verilog/SV (<5%),,,,31,,,
https://github.com/ZipCPU/wbscope,wbscope,,,,,50,,,
https://github.com/pulp-platform/axi_slice_dc,axi_slice_dc,archived,,,,46,,,
https://github.com/ultraembedded/fpga_test_soc,fpga_test_soc,,,,,26,,,
https://github.com/ZipCPU/wbspi,wbspi,,,,,14,,,
https://github.com/pulp-platform/axi_spi_master,axi_spi_master,archived,,,,16,,,
https://github.com/ultraembedded/legacy_jpeg_decoder,legacy_jpeg_decoder,archived,,,,23,,,
https://github.com/ZipCPU/wbuart32,wbuart32,bad license: GPL-3.0,,,,160,,,
https://github.com/pulp-platform/axi_spi_slave,axi_spi_slave,archived,,,,21,,,
https://github.com/ultraembedded/libhelix-mp3,libhelix-mp3,not enough Verilog/SV (<5%),,,,3,,,
https://github.com/ZipCPU/website,website,not enough Verilog/SV (<5%),,,,737,,,
https://github.com/ultraembedded/librtos,librtos,not enough Verilog/SV (<5%),,,,6,,,
https://github.com/pulp-platform/apb_fll_if,apb_fll_if,,,,,32,,,
https://github.com/ZipCPU/xtimesheet,xtimesheet,bad license: GPL-3.0,,,,11,,,
https://github.com/ultraembedded/libsigrok,libsigrok,fork,,,,5588,,,
https://github.com/pulp-platform/pulpino-zedboard-images,pulpino-zedboard-images,archived,,,,5,,,
https://github.com/ZipCPU/xulalx25soc,xulalx25soc,,,,,42,,,
https://github.com/ultraembedded/minispartan6,minispartan6,not enough commits (4),,,,4,,,
https://github.com/pulp-platform/IPApproX,IPApproX,archived,,,,226,,,
https://github.com/ZipCPU/yosys,yosys,fork,,,,4093,,,
https://github.com/ultraembedded/minispartan6-audio,minispartan6-audio,bad license: GPL-2.0,,,,10,,,
